nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
Egipto,109300000,1002450,África
Australia,25690000,7692024,Oceanía
Canadá,38250000,9984670,América
Francia,67750000,551695,Europa
India,1408000000,3287263,Asia
Sudáfrica,59390000,1221037,África
Italia,59110000,301340,Europa
México,126700000,1964375,América
Nueva Zelanda,5120000,268021,Oceanía
China,1412000000,9596960,Asia
España,47420000,505990,Europa
Nigeria,213400000,923768,África
Corea del Sur,51740000,100210,Asia
Colombia,51520000,1141748,América
Marruecos,37080000,446550,África
Suiza,8700000,41285,Europa